names,index,setting,Core,Parallelism,cri,makespan
our ,132,NoCore,6,30,20,33535
other ,152,NoCore ,5,30,20,36593
other ,132,NoCore ,6,30,20,36496
our ,153,NoCore,5,30,20,37102
our ,133,NoCore,6,30,20,33535
other ,133,NoCore ,6,30,20,36419
other ,153,NoCore ,5,30,20,45007
our ,154,NoCore,5,30,20,37102
our ,134,NoCore,6,30,20,33535
other ,134,NoCore ,6,30,20,35282
other ,154,NoCore ,5,30,20,39288
our ,135,NoCore,6,30,20,33535
our ,155,NoCore,5,30,20,37102
other ,135,NoCore ,6,30,20,35900
other ,155,NoCore ,5,30,20,37386
our ,136,NoCore,6,30,20,33535
our ,156,NoCore,5,30,20,37102
other ,136,NoCore ,6,30,20,37322
other ,156,NoCore ,5,30,20,40639
our ,137,NoCore,6,30,20,33535
our ,157,NoCore,5,30,20,37102
other ,137,NoCore ,6,30,20,37451
other ,157,NoCore ,5,30,20,38590
our ,138,NoCore,6,30,20,33535
our ,158,NoCore,5,30,20,37102
other ,138,NoCore ,6,30,20,38831
other ,158,NoCore ,5,30,20,41837
our ,139,NoCore,6,30,20,33535
our ,159,NoCore,5,30,20,37102
other ,139,NoCore ,6,30,20,35229
other ,159,NoCore ,5,30,20,42272
our ,140,NoCore,6,30,20,33535
our ,160,NoCore,5,30,20,37102
other ,140,NoCore ,6,30,20,36409
our ,141,NoCore,6,30,20,33535
other ,160,NoCore ,5,30,20,37397
our ,161,NoCore,5,30,20,37102
other ,141,NoCore ,6,30,20,36188
other ,161,NoCore ,5,30,20,41018
our ,142,NoCore,6,30,20,33535
our ,162,NoCore,5,30,20,37102
other ,142,NoCore ,6,30,20,36905
our ,143,NoCore,6,30,20,33535
other ,162,NoCore ,5,30,20,39573
our ,163,NoCore,5,30,20,37102
other ,143,NoCore ,6,30,20,37764
our ,144,NoCore,6,30,20,33535
other ,163,NoCore ,5,30,20,36786
our ,164,NoCore,5,30,20,37102
other ,144,NoCore ,6,30,20,35913
other ,164,NoCore ,5,30,20,36823
our ,145,NoCore,6,30,20,33535
our ,165,NoCore,5,30,20,37102
other ,145,NoCore ,6,30,20,38764
other ,165,NoCore ,5,30,20,37591
our ,146,NoCore,6,30,20,33535
our ,166,NoCore,5,30,20,37102
other ,146,NoCore ,6,30,20,37240
our ,147,NoCore,6,30,20,33535
other ,166,NoCore ,5,30,20,42642
our ,167,NoCore,5,30,20,37102
other ,147,NoCore ,6,30,20,35834
our ,148,NoCore,6,30,20,33535
other ,167,NoCore ,5,30,20,38256
our ,168,NoCore,5,30,20,37102
other ,148,NoCore ,6,30,20,35849
our ,149,NoCore,6,30,20,33535
other ,168,NoCore ,5,30,20,40909
other ,149,NoCore ,6,30,20,35407
our ,169,NoCore,5,30,20,37102
our ,150,NoCore,6,30,20,33535
other ,169,NoCore ,5,30,20,39265
other ,150,NoCore ,6,30,20,39125
our ,170,NoCore,5,30,20,37102
our ,151,NoCore,6,30,20,33535
other ,170,NoCore ,5,30,20,43397
other ,151,NoCore ,6,30,20,35533
our ,171,NoCore,5,30,20,37102
our ,152,NoCore,6,30,20,33535
other ,171,NoCore ,5,30,20,39093
other ,152,NoCore ,6,30,20,34862
our ,172,NoCore,5,30,20,37102
our ,153,NoCore,6,30,20,33535
other ,172,NoCore ,5,30,20,40055
our ,173,NoCore,5,30,20,37102
other ,153,NoCore ,6,30,20,36563
our ,154,NoCore,6,30,20,33535
other ,173,NoCore ,5,30,20,44010
other ,154,NoCore ,6,30,20,37472
our ,174,NoCore,5,30,20,37102
our ,155,NoCore,6,30,20,33535
other ,174,NoCore ,5,30,20,38390
other ,155,NoCore ,6,30,20,40332
our ,175,NoCore,5,30,20,37102
our ,156,NoCore,6,30,20,33535
other ,175,NoCore ,5,30,20,39049
other ,156,NoCore ,6,30,20,37074
our ,176,NoCore,5,30,20,37102
our ,157,NoCore,6,30,20,33535
other ,176,NoCore ,5,30,20,38799
other ,157,NoCore ,6,30,20,38991
our ,177,NoCore,5,30,20,37102
our ,158,NoCore,6,30,20,33535
other ,177,NoCore ,5,30,20,43725
other ,158,NoCore ,6,30,20,34938
our ,178,NoCore,5,30,20,37102
our ,159,NoCore,6,30,20,33535
other ,178,NoCore ,5,30,20,41177
other ,159,NoCore ,6,30,20,36498
